0,1,2,3,4,5,6,class_numeric
9.14156,0.19614163,4.502397,3.2411258,10.334465,4.878708,8.0602045,0
9.172585,0.3046139,4.8826685,3.2807262,10.124528,4.898243,7.9403634,1
9.468876,-0.38318542,4.407242,3.1126833,9.753062,5.4654264,7.4362507,2
9.152074,0.29099432,4.789423,3.2862227,10.180309,4.883662,7.9842415,3
9.182399,0.22414216,4.7679067,3.239007,10.1472,4.9455705,7.95379,4
9.147852,0.30528197,4.862996,3.2796888,10.140012,4.895696,7.966138,5
1.7840264,-1.4829168,0.9019059,1.9816586,9.750817,5.918564,9.975923,0
2.3096662,-1.931086,0.810463,2.293804,9.892319,5.253459,9.945153,1
2.0681238,-2.0409176,0.6428907,1.9829804,9.921532,5.4728317,9.874277,2
1.8779993,-2.1234086,0.5211183,1.8065609,9.949216,5.593082,9.813798,3
1.9965456,-1.9013581,0.64180046,1.97122,9.832698,5.634424,9.911992,4
2.19769,-1.9989444,0.7333709,2.1254504,9.8854685,5.3751116,9.909437,5
9.143805,0.13785748,4.449198,3.2152123,10.352827,4.9166226,8.070915,0
9.16518,0.27707922,4.863221,3.2567155,10.109658,4.9247613,7.9388146,1
9.667986,-0.45366484,4.593132,3.3314312,9.580431,5.456284,7.248429,2
9.642735,-0.44037282,4.560754,3.2996504,9.602179,5.4460526,7.2690954,3
9.176647,0.28315428,4.8889832,3.275481,10.094176,4.927251,7.9200163,4
9.163845,0.31832856,4.93365,3.301442,10.046734,4.9611115,7.894518,5
1.8809571,-1.614997,0.81669366,2.0147157,9.795663,5.812447,9.933956,0
2.325787,-1.9560086,0.832396,2.2645023,9.879025,5.247748,9.962393,1
1.9692998,-2.018572,0.6051563,1.9118977,9.90064,5.599524,9.87336,2
1.8758541,-2.136161,0.51152706,1.8008237,9.943432,5.5893083,9.825236,3
2.033275,-1.8936567,0.6905926,2.0030978,9.856683,5.592128,9.874723,4
2.2983816,-1.9597956,0.80269676,2.271271,9.883314,5.2637405,9.940418,5
9.145846,0.20314391,4.518223,3.246733,10.304041,4.8897986,8.035597,0
9.178189,0.29069385,4.9154267,3.2740436,10.0971365,4.9247084,7.9102516,1
9.453737,-0.4811484,4.271109,3.015238,9.747383,5.586569,7.403265,2
9.681001,-0.46336356,4.608178,3.3459299,9.567501,5.4662514,7.2348022,3
9.182316,0.26964307,4.9021096,3.2711508,10.075172,4.942635,7.90442,4
9.132848,0.25574806,4.940203,3.2410939,10.033903,4.975227,7.9467936,5
1.8513964,-1.6507429,0.8117081,1.9719855,9.794365,5.802124,9.957502,0
2.3544562,-1.9264394,0.86132884,2.3195865,9.838899,5.2103376,9.998036,1
1.9568361,-2.0649352,0.573578,1.8785317,9.943655,5.590062,9.837096,2
1.8756149,-2.1336398,0.5113261,1.7997127,9.94687,5.5929823,9.819442,3
1.998875,-1.9414506,0.64879894,1.9679502,9.880318,5.599187,9.876116,4
2.3353844,-1.9620061,0.83944106,2.2805047,9.858194,5.230727,9.979853,5
9.12952,0.18300395,4.48896,3.2363591,10.346957,4.875044,8.075629,0
9.174482,0.33857945,4.982204,3.2685554,10.117264,4.8779063,7.920275,1
9.476708,-0.33837456,4.471929,3.149151,9.75047,5.4265466,7.438024,2
9.650114,-0.44066238,4.578098,3.31164,9.59398,5.4440203,7.2649117,3
9.231677,0.16859655,4.8930383,3.2107973,9.980261,5.0448375,7.827998,4
9.207766,0.36610553,5.0020065,3.351822,10.083188,4.869769,7.8996124,5
1.8603487,-1.6781846,0.7918356,1.97122,9.806007,5.7852116,9.947586,0
2.3167455,-1.9441268,0.8241859,2.2784204,9.873038,5.2537923,9.962812,1
2.050131,-1.9903628,0.63220215,1.9526287,9.951897,5.5782356,9.911151,2
1.9210544,-2.1090386,0.54285145,1.8367975,9.968935,5.563969,9.80697,3
2.1065116,-1.8544405,0.7411747,2.0784543,9.813907,5.5530667,9.950086,4
2.2260385,-1.9431772,0.7681097,2.1670895,9.8572035,5.372132,9.944069,5
9.147113,0.20612715,4.550106,3.2482839,10.305679,4.8796215,8.046669,0
9.183695,0.3305357,4.970168,3.3038883,10.101153,4.892703,7.9100523,1
9.574213,-0.42079914,4.495654,3.2218728,9.658417,5.4501185,7.3295016,2
9.652096,-0.44387874,4.569711,3.3094869,9.595238,5.4451776,7.26198,3
9.204756,0.3217489,4.9768124,3.3161314,10.0728035,4.907611,7.877637,4
9.219309,0.27448645,5.01281,3.2740023,9.9995165,4.980193,7.8353376,5
1.8127962,-1.4723856,0.8688333,2.0330367,9.775124,5.907491,9.906786,0
2.0948107,-1.8976495,0.7221664,2.0604208,9.854631,5.544923,9.913054,1
1.8956766,-2.1068923,0.52759886,1.8239301,9.935343,5.6090612,9.842013,2
1.8508635,-2.1530619,0.4920587,1.7781094,9.942771,5.589538,9.82751,3
2.061524,-1.8988997,0.6759093,2.0297885,9.843312,5.598272,9.908086,4
2.2538884,-1.9833044,0.7825749,2.2098534,9.819325,5.3207684,9.996296,5
10.249816,-1.6053916,3.1509635,3.1093,9.518595,7.097827,6.476397,0
10.153033,-1.6710218,2.674501,2.7995524,9.922558,7.568956,6.475051,1
9.99677,-0.83587646,3.4163413,2.8568122,9.228479,6.9247546,5.1570683,2
10.171763,-0.99086636,3.5148625,3.0214448,9.394712,7.082565,5.2159653,3
10.230322,-1.6291981,2.988704,3.0046213,9.628376,7.2755466,6.3453746,4
9.823368,-0.8685334,3.3526115,2.7714148,9.222921,6.840662,5.4546065,5
7.876978,-0.9782455,2.1359982,1.942239,10.053576,7.3215466,7.8611517,0
-0.5082778,0.8466631,1.3268135,1.9429784,9.520431,6.5389175,9.67958,1
-0.62203693,0.9032983,2.794714,3.0561335,9.761452,6.8825097,9.88739,2
-0.61146563,1.0471078,1.8906617,2.521828,9.469089,6.9428225,9.800093,3
-0.46932644,0.78950405,1.3020699,1.883419,9.543442,6.50898,9.713507,4
-0.56458676,1.1005789,1.6730571,2.43505,9.439863,6.7443147,9.617023,5
8.516283,-1.0743363,2.322186,2.0242124,10.044147,7.2476254,7.52186,0
10.063403,-1.6553215,2.5669208,2.7522378,9.941383,7.6881895,6.3150144,1
10.089302,-0.85117626,3.4717505,2.9467726,9.291364,7.005196,5.085017,2
10.138213,-0.9724183,3.4806204,2.9987588,9.402024,7.0546203,5.1798058,3
9.971375,-1.1975974,3.729163,3.0754027,9.162346,6.525001,6.075601,4
10.071732,-0.96839917,3.4190595,2.9296753,9.302431,6.9605165,5.31654,5
7.753648,-0.67962974,1.8938888,1.7056043,10.388271,7.1783786,8.019114,0
-0.47432247,0.7922542,1.2958163,1.899957,9.520614,6.5149865,9.694871,1
-0.58716464,0.9527089,2.7508557,3.1070974,9.712548,6.872766,9.841084,2
-0.6006642,1.0155303,1.6965005,2.379949,9.434777,6.8687577,9.726847,3
-0.44116578,0.75871754,1.3336463,1.8643727,9.591769,6.5061307,9.763781,4
-0.5970183,0.967666,2.0525446,2.5383444,9.5157385,7.070168,9.97446,5
8.185331,-0.97840834,2.1354067,1.8710079,10.182493,7.3289576,7.776147,0
10.015579,-1.6516111,2.5344467,2.707649,9.9641,7.704877,6.3571496,1
10.064094,-0.8531987,3.444011,2.9081972,9.279609,6.9965277,5.092243,2
10.122831,-0.91846627,3.5271049,3.009955,9.333824,7.0526237,5.1463494,3
10.102442,-1.5892491,2.7647283,2.834557,9.79517,7.519484,6.203691,4
10.016501,-0.9114034,3.3742049,2.8684509,9.271864,6.9467845,5.254505,5
0.5010146,-0.24905008,1.5104057,1.7191212,9.413473,7.0065756,10.2998495,0
-0.9644505,0.8023569,1.0328019,1.4035795,9.673413,7.7859387,10.665156,1
-0.5767518,0.6887412,2.7472165,2.8117077,9.81157,7.003049,10.135486,2
-1.4518443,0.74595684,0.49483323,1.1117665,9.486547,7.9262967,10.292273,3
-1.0006167,0.68816066,0.47165352,1.0068657,9.454886,7.8953285,10.726493,4
-1.7148138,0.85280764,0.37498823,0.92741525,9.702394,7.9969826,10.311439,5
7.8694954,-0.88160026,1.9971359,1.8469704,10.253151,7.3497605,7.884365,0
10.058299,-1.6666623,2.5306013,2.7453907,9.955956,7.729906,6.27845,1
10.009127,-0.84758407,3.4258375,2.8692138,9.24422,6.9365773,5.164674,2
10.142606,-0.93614084,3.5200253,3.0110967,9.345479,7.0343943,5.162567,3
10.110167,-1.5905067,2.754939,2.8397865,9.793335,7.534828,6.165058,4
