0,1,2,class_numeric
7.3532386,5.3563185,6.792683,0
7.4994574,5.262064,6.9175587,1
-5.4854584,4.7835994,6.025076,0
-5.459036,4.4382896,6.30743,1
7.253892,5.2219825,6.74481,0
7.4101853,5.1512246,6.976688,1
-5.6082773,4.671528,6.135027,0
-5.4911375,4.394046,6.3039503,1
7.122974,5.421072,6.6863947,0
7.546272,5.300949,6.9515076,1
-5.499328,4.762881,6.043064,0
-5.530746,4.4141874,6.305969,1
7.380168,5.4747314,6.687959,0
7.596209,5.3567686,6.9751897,1
-5.6138616,4.7340937,6.075246,0
-5.4280586,4.3657856,6.348688,1
7.3407764,5.0835886,6.7950654,0
7.3480124,5.014954,6.919252,1
-5.5844955,4.646709,6.162846,0
-5.49342,4.5024123,6.2558746,1
5.6410904,3.7316318,6.7736382,0
5.559283,3.6950374,6.8177996,1
-5.1051188,5.8067365,4.536187,0
-4.8932443,5.8437886,4.3647237,1
5.1519322,4.318048,6.519218,0
5.296895,3.6761591,6.706955,1
-0.75086653,6.160009,4.1093736,0
-5.0658774,5.637928,4.924887,1
5.3738623,5.299593,5.8835087,0
5.471944,3.5281174,6.8270783,1
-4.9906244,5.8553224,4.5169888,0
-4.429423,5.888767,4.110596,1
-2.6914191,6.1292214,3.8915482,0
5.267237,3.6801755,6.8151255,1
-4.943054,5.858289,4.4493937,0
-4.78042,5.9067082,4.167865,1
5.340002,5.4949045,5.894481,0
5.715727,3.867261,6.8145337,1
-0.37242138,6.0880127,4.0985327,0
-0.31551322,6.065672,4.1040907,1
4.87723,5.755982,5.555154,0
7.0119042,5.224865,6.7670913,1
-1.4797146,6.161326,3.9159787,0
-4.711597,5.588859,5.1951914,1
5.259487,5.7909684,5.678526,0
6.6832457,4.371909,6.813005,1
-1.4842643,6.1100597,3.9013777,0
-5.010644,5.508746,5.2925296,1
4.4826903,5.631626,5.3926907,0
6.798388,4.4136086,6.853591,1
-1.9948578,6.1399255,4.178668,0
-4.9477324,5.343519,5.428957,1
5.5916147,5.7616773,5.854245,0
6.7202206,4.5703425,6.8902917,1
-2.1833246,6.0728745,4.4429364,0
-4.9161024,5.3407526,5.386509,1
6.056317,4.6502814,6.504955,0
6.7693634,4.3524756,6.857168,1
-1.4981935,6.203734,4.0417666,0
-5.1340103,5.594034,5.270699,1
5.8645635,4.6031966,6.452153,0
5.435388,4.785364,6.225775,1
-1.6541127,6.205154,3.4729812,0
-3.2842584,6.2303014,2.9518406,1
4.283973,4.6706443,5.5960207,0
5.115089,4.4130397,6.192537,1
-1.7226988,6.1824346,3.4625018,0
-3.207011,6.3411827,3.0705442,1
6.5448794,4.4164476,7.0398793,0
5.512394,4.2614913,6.329399,1
-3.1382055,6.378962,3.1342895,0
-3.7883303,5.811248,4.1143336,1
5.9045343,4.2313566,6.7821665,0
4.5115995,4.5447226,5.8986473,1
-3.0840392,6.374722,3.2499053,0
-3.5066955,6.136185,3.1124637,1
4.50036,4.8628592,5.7288837,0
4.3880916,4.6135054,5.7153044,1
-3.2035918,6.3584743,3.2227209,0
-3.4358451,6.185354,2.992835,1
0.20780179,6.04101,4.305497,0
5.5794516,5.0371113,6.4048967,1
-0.9888826,6.145078,4.000746,0
-5.773613,5.993305,5.12606,1
0.3550227,5.9363174,4.294231,0
-0.7518483,6.3042927,4.209739,0
-5.7328734,5.926832,4.9334025,1
0.35976362,5.722338,4.1757026,0
-0.2548591,6.0790577,4.1924973,0
-5.616206,5.8423195,5.1507335,1
4.9985347,5.6688867,6.050932,0
-0.949299,6.2992682,4.2026973,0
-5.863225,5.828668,4.9597015,1
4.864569,5.6828184,6.0700326,0
4.731973,5.0674615,6.176988,1
-5.329448,6.013859,5.056367,0
-5.800759,5.906519,5.169771,1
0.24711423,5.5456305,4.0581045,0
6.1303515,5.5005875,6.2631583,1
-3.788334,5.5454936,5.1054473,0
-1.8741958,6.317826,3.845441,1
5.8602147,5.4044857,6.316775,0
6.3673253,5.651502,6.3693485,1
-2.4961,5.836791,4.5695662,0
-3.4118152,5.656492,4.834429,1
6.327913,5.7649198,6.35353,0
6.656231,5.5603437,6.58344,1
-2.6619558,5.846228,4.5344806,0
-3.5833287,5.567538,4.75275,1
6.479726,5.594036,6.3211784,0
6.3801017,5.71235,6.3354445,1
-2.8679423,5.722293,4.6770205,0
-3.3392553,5.618105,4.799431,1
-0.0096894875,5.6226435,4.03597,0
5.9013915,5.782563,6.0971217,1
-1.9903555,5.661833,4.0842195,0
-3.2987518,5.700107,4.6808047,1
4.064858,5.4339347,5.273503,0
3.8180122,5.480187,5.1248746,1
-2.0881467,6.3324037,3.4695442,0
-3.4288666,5.9776077,3.96778,1
3.4323041,5.355707,5.213635,0
3.6326947,5.3894286,4.976927,1
-2.1010048,6.1913276,3.5887632,0
-3.4667127,5.9230304,4.4156876,1
3.4620557,5.3392897,5.039824,0
3.5542316,5.5264783,4.8655186,1
-1.9034363,6.272064,3.280119,0
-2.7613742,6.3777122,3.309011,1
3.3561416,5.3691263,4.9887595,0
3.4810169,5.4828258,4.977179,1
-1.9173448,6.2266088,3.2768052,0
-2.8079712,6.281168,3.3657796,1
3.4126787,5.356434,5.0489216,0
3.4368536,5.5294347,4.917238,1
-2.0733643,6.309582,3.1543722,0
-2.7793195,6.4478946,3.0122602,1
5.4685616,3.6444767,6.350974,0
-2.046712,6.0074415,3.8528695,0
-4.0071535,5.573728,4.599528,1
6.0190105,4.1359425,6.474339,0
6.2667003,4.467313,6.740697,1
-2.0112896,5.97791,3.8741555,0
-4.584563,5.733883,4.191519,1
5.978725,5.0533686,6.3965282,0
6.518984,5.6326213,6.47043,1
-2.2865252,6.0877433,3.8912387,0
-4.360013,5.6423645,4.3752055,1
5.7274895,3.7200031,6.664225,0
6.3346963,4.1442246,6.7784786,1
-2.4911134,5.929018,4.3498187,0
-4.1102676,5.636235,4.793692,1
5.922092,3.9501908,6.644445,0
6.127423,4.128247,6.817083,1
-2.2781734,5.9390135,4.3637347,0
-4.222387,5.4123006,5.051847,1
4.2696524,4.9701624,5.911607,0
5.0388722,3.9880264,6.5818453,1
-2.8874955,6.0181284,3.8996367,0
-5.952483,5.865095,5.065361,1
4.0491652,5.1510735,5.492598,0
5.6360083,4.176843,6.7014794,1
-2.462997,6.2755756,3.4239714,0
5.268313,5.4304733,6.1787333,0
-4.7231984,5.716432,3.9553425,1
3.6105738,5.1968966,5.2462,0
5.1359897,5.4363756,6.2732353,1
-2.307722,6.447739,3.1010153,0
-4.8432107,5.670622,3.9580553,1
4.1968675,4.7116933,6.037331,0
5.2912874,3.695366,6.6880975,1
-2.5384471,6.4358807,3.4578772,0
-4.799463,5.634638,4.049216,1
3.0676174,5.542232,5.157249,0
5.0549917,5.48833,5.946661,1
-1.8986741,5.8975415,4.2771163,0
-4.762049,5.460906,5.386156,1
7.3389792,5.5573406,6.5473127,0
6.2324524,5.714286,6.210597,1
-1.7657986,5.7337723,4.108533,0
-4.428302,5.628965,5.247716,1
5.8939295,5.7396507,5.9937162,0
5.75154,5.6988506,6.108332,1
-1.7997642,5.9241166,4.302892,0
-5.011691,5.761027,4.9979606,1
4.515715,5.5876336,5.5265307,0
5.4598675,5.412133,5.9998765,1
-1.8559456,5.9927526,4.4580536,0
