class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,loadble,lr,optimizer,loss_fn,num_epochs
ten-classes,0.10426540284360189,Spv,True,True,pca,,1,prajjwal1/bert-tiny,2e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2e-05
    maximize: False
    weight_decay: 0.01
)",CrossEntropyLoss(),2
ten-classes,0.10426540284360189,Spv,True,True,kpca,poly,1,prajjwal1/bert-tiny,2e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2e-05
    maximize: False
    weight_decay: 0.01
)",CrossEntropyLoss(),2
ten-classes,0.10426540284360189,Spv,True,True,kpca,rbf,1,prajjwal1/bert-tiny,2e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2e-05
    maximize: False
    weight_decay: 0.01
)",CrossEntropyLoss(),2
ten-classes,0.10426540284360189,Spv,True,True,kpca,sigmoid,1,prajjwal1/bert-tiny,2e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2e-05
    maximize: False
    weight_decay: 0.01
)",CrossEntropyLoss(),2
ten-classes,0.10426540284360189,Spv,True,True,kpca,cosine,1,prajjwal1/bert-tiny,2e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2e-05
    maximize: False
    weight_decay: 0.01
)",CrossEntropyLoss(),2
ten-classes,0.10426540284360189,Spv,True,True,umap,,1,prajjwal1/bert-tiny,2e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2e-05
    maximize: False
    weight_decay: 0.01
)",CrossEntropyLoss(),2
ten-classes,0.0995260663507109,Spv,True,True,pca,,2,prajjwal1/bert-tiny,2e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2e-05
    maximize: False
    weight_decay: 0.01
)",CrossEntropyLoss(),2
ten-classes,0.0995260663507109,Spv,True,True,kpca,poly,2,prajjwal1/bert-tiny,2e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2e-05
    maximize: False
    weight_decay: 0.01
)",CrossEntropyLoss(),2
ten-classes,0.0995260663507109,Spv,True,True,kpca,rbf,2,prajjwal1/bert-tiny,2e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2e-05
    maximize: False
    weight_decay: 0.01
)",CrossEntropyLoss(),2
ten-classes,0.10426540284360189,Spv,True,True,kpca,sigmoid,2,prajjwal1/bert-tiny,2e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2e-05
    maximize: False
    weight_decay: 0.01
)",CrossEntropyLoss(),2
ten-classes,0.10426540284360189,Spv,True,True,kpca,cosine,2,prajjwal1/bert-tiny,2e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2e-05
    maximize: False
    weight_decay: 0.01
)",CrossEntropyLoss(),2
