class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,batch_size,loadable,num_epochs
two-classes,0.53515625,Spf,True,True,pca,None,1,1024,distilbert-base-uncased,9
two-classes,0.609375,Spf,True,True,umap,None,1,1024,distilbert-base-uncased,9
two-classes,0.73046875,Spf,True,True,pca,None,3,1024,distilbert-base-uncased,9
two-classes,0.703125,Spf,True,True,umap,None,3,1024,distilbert-base-uncased,9
two-classes,0.720703125,Spf,True,True,pca,None,5,1024,distilbert-base-uncased,9
two-classes,0.537109375,Spf,True,True,umap,None,5,1024,distilbert-base-uncased,9
two-classes,0.736328125,Spf,True,True,pca,None,7,1024,distilbert-base-uncased,9
two-classes,0.599609375,Spf,True,True,umap,None,7,1024,distilbert-base-uncased,9
two-classes,0.6328125,Spf,True,True,pca,None,9,1024,distilbert-base-uncased,9
two-classes,0.65234375,Spf,True,True,umap,None,9,1024,distilbert-base-uncased,9
two-classes,0.73828125,Spf,True,True,pca,None,11,1024,distilbert-base-uncased,9
two-classes,0.61328125,Spf,True,True,umap,None,11,1024,distilbert-base-uncased,9
two-classes,0.6484375,Spf,True,True,pca,None,13,1024,distilbert-base-uncased,9
two-classes,0.708984375,Spf,True,True,umap,None,13,1024,distilbert-base-uncased,9
two-classes,0.76171875,Spf,True,True,pca,None,15,1024,distilbert-base-uncased,9
two-classes,0.654296875,Spf,True,True,umap,None,15,1024,distilbert-base-uncased,9
two-classes,0.630859375,Spf,True,False,None,None,75,1024,distilbert-base-uncased,9
two-classes,0.669921875,Spf,False,True,pca,None,1,1024,distilbert-base-uncased,9
two-classes,0.58203125,Spf,False,True,umap,None,1,1024,distilbert-base-uncased,9
two-classes,0.697265625,Spf,False,True,pca,None,3,1024,distilbert-base-uncased,9
two-classes,0.619140625,Spf,False,True,umap,None,3,1024,distilbert-base-uncased,9
two-classes,0.7578125,Spf,False,True,pca,None,5,1024,distilbert-base-uncased,9
two-classes,0.626953125,Spf,False,True,umap,None,5,1024,distilbert-base-uncased,9
two-classes,0.7734375,Spf,False,True,pca,None,7,1024,distilbert-base-uncased,9
two-classes,0.599609375,Spf,False,True,umap,None,7,1024,distilbert-base-uncased,9
two-classes,0.880859375,Spf,False,True,pca,None,9,1024,distilbert-base-uncased,9
two-classes,0.619140625,Spf,False,True,umap,None,9,1024,distilbert-base-uncased,9
two-classes,0.884765625,Spf,False,True,pca,None,11,1024,distilbert-base-uncased,9
two-classes,0.626953125,Spf,False,True,umap,None,11,1024,distilbert-base-uncased,9
two-classes,0.853515625,Spf,False,True,pca,None,13,1024,distilbert-base-uncased,9
two-classes,0.51171875,Spf,False,True,umap,None,13,1024,distilbert-base-uncased,9
two-classes,0.876953125,Spf,False,True,pca,None,15,1024,distilbert-base-uncased,9
two-classes,0.666015625,Spf,False,True,umap,None,15,1024,distilbert-base-uncased,9
two-classes,0.693359375,Spf,False,False,None,None,72,1024,distilbert-base-uncased,9
